,日期,星期,最高温度,最低温度,天气,风向
894,2013/6/25, 星期二 ,31℃,22℃,阵雨转多云,北风 小于3级
895,2013/6/26, 星期三 ,32℃,23℃,多云,北风 小于3级
896,2013/6/27, 星期四 ,33℃,23℃,多云,旋转风 小于3级
897,2013/6/28, 星期五 ,33℃,23℃,多云,旋转风 小于3级
898,2013/6/29, 星期六 ,31℃,24℃,阴,旋转风 小于3级
899,2013/6/30, 星期日 ,27℃,24℃,中雨转大雨,旋转风 小于3级
900,2013/7/1, 星期一 ,26℃,23℃,大雨,旋转风 小于3级
901,2013/7/2, 星期二 ,28℃,23℃,中雨转小雨,旋转风 小于3级
902,2013/7/3, 星期三 ,28℃,24℃,小雨,旋转风 小于3级
903,2013/7/4, 星期四 ,29℃,25℃,小雨转中雨,旋转风 小于3级
904,2013/7/5, 星期五 ,34℃,24℃,中雨转多云,旋转风 小于3级
905,2013/7/6, 星期六 ,33℃,24℃,多云,旋转风 小于3级
906,2013/7/7, 星期日 ,32℃,24℃,多云,旋转风 小于3级
907,2013/7/8, 星期一 ,27℃,24℃,小雨转大雨,旋转风 小于3级
908,2013/7/9, 星期二 ,26℃,23℃,中到大雨,北风 小于3级
909,2013/7/10, 星期三 ,26℃,23℃,中雨转小雨,北风 小于3级
910,2013/7/11, 星期四 ,26℃,22℃,中雨转小雨,旋转风 小于3级
911,2013/7/12, 星期五 ,27℃,24℃,小雨,旋转风 小于3级
912,2013/7/13, 星期六 ,29℃,24℃,小雨转阴,旋转风 小于3级
913,2013/7/14, 星期日 ,34℃,24℃,小雨转多云,旋转风 小于3级
914,2013/7/15, 星期一 ,30℃,25℃,多云转小雨,旋转风 小于3级
915,2013/7/16, 星期二 ,29℃,26℃,小雨,北风 小于3级
916,2013/7/17, 星期三 ,27℃,24℃,中雨,旋转风 小于3级
917,2013/7/18, 星期四 ,28℃,23℃,中雨,旋转风 小于3级
918,2013/7/19, 星期五 ,26℃,23℃,中雨,旋转风 小于3级
919,2013/7/20, 星期六 ,29℃,23℃,阴,旋转风 小于3级
920,2013/7/21, 星期日 ,29℃,23℃,阵雨转阴,旋转风 小于3级
921,2013/7/22, 星期一 ,27℃,24℃,大雨,北风 小于3级
922,2013/7/23, 星期二 ,30℃,23℃,阴转多云,旋转风 小于3级
923,2013/7/24, 星期三 ,29℃,23℃,阴,旋转风 小于3级
924,2013/7/25, 星期四 ,30℃,24℃,小雨,旋转风 小于3级
925,2013/7/26, 星期五 ,30℃,25℃,小雨转多云,旋转风 小于3级
926,2013/7/27, 星期六 ,33℃,25℃,小雨转多云,北风 小于3级
927,2013/7/28, 星期日 ,33℃,25℃,小雨,旋转风 小于3级
928,2013/7/29, 星期一 ,32℃,23℃,中雨转多云,旋转风 小于3级
929,2013/7/30, 星期二 ,32℃,23℃,多云,旋转风 小于3级
930,2013/7/31, 星期三 ,31℃,23℃,多云转阵雨,旋转风 小于3级
931,2013/8/1, 星期四 ,30℃,25℃,小雨,旋转风 小于3级
932,2013/8/2, 星期五 ,30℃,23℃,阵雨转多云,旋转风 小于3级
933,2013/8/3, 星期六 ,32℃,23℃,多云,北风 小于3级
934,2013/8/4, 星期日 ,32℃,23℃,多云,旋转风 小于3级
935,2013/8/5, 星期一 ,32℃,24℃,阴,旋转风 小于3级
936,2013/8/6, 星期二 ,31℃,24℃,多云,旋转风 小于3级
937,2013/8/7, 星期三 ,26℃,24℃,中雨,旋转风 小于3级
938,2013/8/8, 星期四 ,28℃,21℃,中雨转阵雨,北风 小于3级
939,2013/8/9, 星期五 ,29℃,21℃,多云,旋转风 小于3级
940,2013/8/10, 星期六 ,30℃,22℃,多云转阴,旋转风 小于3级
941,2013/8/11, 星期日 ,30℃,23℃,小雨转阴,旋转风 小于3级
942,2013/8/12, 星期一 ,32℃,24℃,阴转多云,旋转风 小于3级
943,2013/8/13, 星期二 ,31℃,23℃,多云,北风 小于3级
944,2013/8/14, 星期三 ,33℃,23℃,多云,旋转风 小于3级
945,2013/8/15, 星期四 ,32℃,24℃,多云转阴,旋转风 小于3级
946,2013/8/16, 星期五 ,35℃,24℃,多云,旋转风 小于3级
947,2013/8/17, 星期六 ,36℃,26℃,多云,旋转风 小于3级
948,2013/8/18, 星期日 ,36℃,26℃,多云转晴,旋转风 小于3级
949,2013/8/19, 星期一 ,33℃,25℃,多云,北风 小于3级
950,2013/8/20, 星期二 ,32℃,25℃,阴转多云,北风 小于3级
951,2013/8/21, 星期三 ,33℃,24℃,阵雨转多云,旋转风 小于3级
952,2013/8/22, 星期四 ,35℃,24℃,多云,旋转风 小于3级
953,2013/8/23, 星期五 ,36℃,25℃,阴转多云,旋转风 小于3级
954,2013/8/24, 星期六 ,35℃,25℃,多云,旋转风 小于3级
955,2013/8/25, 星期日 ,32℃,23℃,阵雨,北风 小于3级
956,2013/8/26, 星期一 ,29℃,23℃,阵雨转阴,东北风 小于3级
957,2013/8/27, 星期二 ,29℃,24℃,阴转小雨,旋转风~北风 小于3级
958,2013/8/28, 星期三 ,27℃,25℃,小雨转中雨,旋转风~东北风 小于3级
959,2013/8/29, 星期四 ,30℃,22℃,小雨转多云,东北风 小于3级
960,2013/8/30, 星期五 ,30℃,22℃,多云,旋转风 小于3级
961,2013/8/31, 星期六 ,28℃,20℃,阴,北风 小于3级
962,2013/9/1, 星期日 ,24℃,20℃,阴转小雨,旋转风 小于3级
963,2013/9/2, 星期一 ,24℃,20℃,中雨转小雨,旋转风 小于3级
964,2013/9/3, 星期二 ,22℃,19℃,小雨,旋转风 小于3级
965,2013/9/4, 星期三 ,20℃,18℃,小雨,旋转风 小于3级
966,2013/9/5, 星期四 ,22℃,17℃,小雨,旋转风 小于3级
967,2013/9/6, 周五 ,20℃,17℃,小雨,北风 小于3级
968,2013/9/7, 星期六 ,20℃,17℃,小雨,北风 小于3级
969,2013/9/8, 星期日 ,20℃,17℃,小雨,北风 小于3级
970,2013/9/9, 星期一 ,25℃,18℃,阴,北风 小于3级
971,2013/9/10, 星期二 ,28℃,17℃,多云,北风 小于3级
972,2013/9/11, 星期三 ,26℃,20℃,阴,旋转风 小于3级
973,2013/9/12, 星期四 ,29℃,19℃,小雨转多云,旋转风 小于3级
974,2013/9/13, 星期五 ,30℃,19℃,多云转晴,旋转风 小于3级
975,2013/9/14, 星期六 ,29℃,20℃,阴,北风 小于3级
976,2013/9/15, 星期日 ,28℃,21℃,多云,旋转风 小于3级
977,2013/9/16, 星期一 ,28℃,21℃,阵雨,旋转风 小于3级
978,2013/9/17, 星期二 ,26℃,21℃,小雨,旋转风 小于3级
979,2013/9/18, 星期三 ,25℃,21℃,小雨转中雨,旋转风 小于3级
980,2013/9/19, 星期四 ,24℃,21℃,大雨转中雨,北风 小于3级
981,2013/9/20, 星期五 ,24℃,22℃,小雨,北风 小于3级
982,2013/9/21, 星期六 ,24℃,21℃,小雨,北风 小于3级
983,2013/9/22, 星期日 ,25℃,21℃,小雨,旋转风 小于3级
984,2013/9/23, 星期一 ,26℃,21℃,阴,旋转风 小于3级
985,2013/9/24, 星期二 ,27℃,20℃,多云,旋转风 小于3级
986,2013/9/25, 星期三 ,23℃,17℃,多云转阴,旋转风 小于3级
987,2013/9/26, 星期四 ,18℃,16℃,阴,北风~旋转风 小于3级
988,2013/9/27, 星期五 ,23℃,15℃,小雨转多云,北风 小于3级
989,2013/9/28, 星期六 ,25℃,14℃,多云,旋转风 小于3级
990,2013/9/29, 星期日 ,26℃,15℃,多云,旋转风 小于3级
991,2013/9/30, 星期一 ,25℃,16℃,多云,旋转风 小于3级
992,2013/10/1, 星期二 ,28℃,18℃,多云,旋转风 小于3级
993,2013/10/2, 星期三 ,26℃,18℃,多云,旋转风 小于3级
994,2013/10/3, 星期四 ,26℃,18℃,多云,旋转风 小于3级
995,2013/10/4, 星期五 ,24℃,17℃,多云转阴,旋转风 小于3级
996,2013/10/5, 星期六 ,24℃,17℃,阴,旋转风 小于3级
997,2013/10/6, 星期日 ,25℃,16℃,阴,旋转风 小于3级
998,2013/10/7, 星期一 ,28℃,18℃,多云,旋转风 小于3级
999,2013/10/8, 星期二 ,30℃,18℃,多云转晴,旋转风 小于3级
1000,2013/10/9, 星期三 ,28℃,17℃,多云转晴,旋转风 小于3级
1001,2013/10/10, 星期四 ,29℃,18℃,多云,旋转风 小于3级
1002,2013/10/11, 星期五 ,29℃,18℃,多云,旋转风 小于3级
1003,2013/10/12, 星期六 ,29℃,18℃,晴,旋转风 小于3级
1004,2013/10/13, 星期六 ,29℃,18℃,晴,旋转风 小于3级
1005,2013/10/14, 星期一 ,29℃,18℃,晴,旋转风 小于3级
1006,2013/10/15, 星期二 ,17℃,13℃,阴~小雨,旋转风 小于3级
1007,2013/10/16, 星期三 ,15℃,13℃,小雨,旋转风 小于3级
1008,2013/10/17, 星期四 ,17℃,13℃,阵雨转阴,旋转风 小于3级
1009,2013/10/18, 星期五 ,17℃,13℃,阴,旋转风 小于3级
1010,2013/10/19, 星期六 ,19℃,13℃,阴,旋转风 小于3级
1011,2013/10/20, 星期日 ,17℃,14℃,小雨,旋转风 小于3级
1012,2013/10/21, 星期一 ,18℃,14℃,小雨转阴,旋转风 小于3级
1013,2013/10/22, 星期二 ,22℃,14℃,阴转多云,旋转风 小于3级
1014,2013/10/23, 星期三 ,23℃,14℃,多云,旋转风 小于3级
1015,2013/10/24, 星期四 ,23℃,13℃,多云,旋转风 小于3级
1016,2013/10/25, 星期五 ,22℃,13℃,多云,旋转风 小于3级
1017,2013/10/26, 星期六 ,20℃,14℃,多云转阴,旋转风 小于3级
1018,2013/10/27, 星期日 ,21℃,13℃,阴转多云,旋转风 小于3级
1019,2013/10/28, 星期一 ,19℃,14℃,阴,旋转风 小于3级
1020,2013/10/29, 星期二 ,16℃,14℃,小雨,旋转风 小于3级
1021,2013/10/30, 星期三 ,16℃,13℃,小雨转阴,旋转风 小于3级
1022,2013/10/31, 星期四 ,16℃,12℃,阴,旋转风 小于3级
1023,2013/11/1, 星期五 ,17℃,13℃,阵雨,旋转风 小于3级
1024,2013/11/2, 星期六 ,16℃,13℃,阴,旋转风 小于3级
1025,2013/11/3, 星期日 ,17℃,13℃,小雨,旋转风 小于3级
1026,2013/11/4, 星期一 ,16℃,13℃,小雨,旋转风 小于3级
1027,2013/11/5, 星期二 ,15℃,13℃,阴转小雨,旋转风 小于3级
1028,2013/11/6, 星期三 ,19℃,12℃,多云,旋转风 小于3级
1029,2013/11/7, 星期四 ,17℃,12℃,多云转阴,旋转风 小于3级
1030,2013/11/8, 星期五 ,19℃,12℃,阴,旋转风 小于3级
1031,2013/11/9, 星期六 ,19℃,13℃,阴转多云,旋转风 小于3级
1032,2013/11/10, 星期日 ,17℃,12℃,多云,旋转风 小于3级
1033,2013/11/11, 星期一 ,15℃,11℃,阴,旋转风 小于3级
1034,2013/11/12, 星期二 ,15℃,12℃,小雨转阴,北风 小于3级
1035,2013/11/13, 星期三 ,15℃,11℃,阴,旋转风 小于3级
1036,2013/11/14, 星期四 ,16℃,10℃,阴,旋转风 小于3级
1037,2013/11/15, 星期五 ,18℃,10℃,多云,旋转风 小于3级
1038,2013/11/16, 星期六 ,19℃,10℃,多云,旋转风 小于3级
1039,2013/11/17, 星期日 ,18℃,10℃,多云,旋转风 小于3级
1040,2013/11/18, 星期一 ,19℃,9℃,多云,旋转风 小于3级
1041,2013/11/19, 星期二 ,18℃,9℃,多云,旋转风 小于3级
1042,2013/11/20, 星期三 ,19℃,9℃,多云,旋转风 小于3级
1043,2013/11/21, 星期四 ,16℃,9℃,阴转小雨,旋转风 小于3级
1044,2013/11/22, 星期五 ,14℃,12℃,小雨,旋转风 小于3级
1045,2013/11/23, 星期六 ,12℃,10℃,小雨,北风 3-4级
1046,2013/11/24, 星期日 ,15℃,5℃,多云转晴,旋转风 小于3级
1047,2013/11/25, 星期一 ,16℃,6℃,晴转多云,旋转风 小于3级
1048,2013/11/26, 星期二 ,15℃,4℃,多云,旋转风 小于3级
1049,2013/11/27, 星期三 ,13℃,4℃,多云,北风 小于3级
1050,2013/11/28, 星期四 ,16℃,5℃,多云转晴,旋转风 小于3级
1051,2013/11/29, 星期五 ,16℃,5℃,多云,旋转风 小于3级
1052,2013/11/30, 星期六 ,17℃,3℃,多云转晴,旋转风 小于3级
1053,2013/12/1, 星期日 ,16℃,2℃,晴,旋转风 小于3级
1054,2013/12/2, 星期一 ,15℃,4℃,多云,旋转风 小于3级
1055,2013/12/3, 星期二 ,17℃,4℃,晴,旋转风 小于3级
1056,2013/12/4, 星期三 ,15℃,4℃,晴转多云,旋转风 小于3级
1057,2013/12/5, 星期四 ,17℃,6℃,多云转晴,旋转风 小于3级
1058,2013/12/6, 星期五 ,16℃,6℃,晴,旋转风 小于3级
1059,2013/12/7, 星期六 ,16℃,5℃,多云,旋转风 小于3级
1060,2013/12/8, 星期日 ,15℃,6℃,阴转多云,旋转风 小于3级
1061,2013/12/9, 星期一 ,13℃,4℃,多云,东北风 4-5级~3-4级
1062,2013/12/10, 星期二 ,15℃,6℃,多云,旋转风 小于3级
1063,2013/12/11, 星期三 ,13℃,4℃,晴转多云,北风 小于3级
1064,2013/12/12, 星期四 ,13℃,4℃,多云,旋转风 小于3级
1065,2013/12/13, 星期五 ,13℃,3℃,多云,旋转风 小于3级
1066,2013/12/14, 星期六 ,10℃,5℃,阵雨转小雨,北风 小于3级
1067,2013/12/15, 星期日 ,14℃,4℃,阴转多云,旋转风 小于3级
1068,2013/12/16, 星期一 ,14℃,2℃,晴,旋转风 小于3级
1069,2013/12/17, 星期二 ,13℃,1℃,多云,旋转风 小于3级
1070,2013/12/18, 星期三 ,10℃,2℃,多云,旋转风 小于3级
1071,2013/12/19, 星期四 ,9℃,2℃,多云转阴,旋转风 小于3级
1072,2013/12/20, 星期五 ,8℃,4℃,小雨转阴,北风 小于3级
1073,2013/12/21, 星期六 ,7℃,4℃,阴,旋转风 小于3级
1074,2013/12/22, 星期日 ,8℃,4℃,阴转小雨,旋转风 小于3级
1075,2013/12/23, 星期一 ,8℃,4℃,阴,旋转风 小于3级
1076,2013/12/24, 星期二 ,10℃,4℃,阴,旋转风 小于3级
1077,2013/12/25, 星期三 ,9℃,4℃,小雨转阴,旋转风 小于3级
1078,2013/12/26, 星期四 ,10℃,3℃,多云,旋转风 小于3级
1079,2013/12/27, 星期五 ,9℃,3℃,多云,旋转风 小于3级
1080,2013/12/28, 星期六 ,9℃,2℃,多云,旋转风 小于3级
1081,2013/12/29, 星期日 ,9℃,1℃,多云,旋转风 小于3级
1082,2013/12/30, 星期一 ,13℃,1℃,多云转晴,旋转风 小于3级
1083,2013/12/31, 星期二 ,10℃,1℃,多云转晴,旋转风 小于3级
1084,2014/1/1, 星期三 ,9℃,0℃,多云,旋转风 小于3级
1085,2014/1/2, 星期四 ,10℃,1℃,多云,旋转风 小于3级
1086,2014/1/3, 星期五 ,11℃,0℃,多云,旋转风 小于3级
1087,2014/1/4, 星期六 ,12℃,0℃,多云,旋转风 小于3级
1088,2014/1/5, 星期日 ,9℃,2℃,多云转阴,旋转风 小于3级
1089,2014/1/6, 星期一 ,10℃,4℃,阴,旋转风 小于3级
1090,2014/1/7, 星期二 ,7℃,3℃,小雨转阴,旋转风 小于3级
1091,2014/1/8, 星期三 ,10℃,2℃,多云,旋转风 小于3级
1092,2014/1/9, 星期四 ,10℃,2℃,多云,旋转风 小于3级
1093,2014/1/10, 星期五 ,8℃,3℃,阴,旋转风 小于3级
1094,2014/1/11, 星期六 ,9℃,4℃,阴转多云,旋转风 小于3级
1095,2014/1/12, 星期日 ,9℃,3℃,多云,旋转风 小于3级
1096,2014/1/13, 星期一 ,11℃,1℃,多云转晴,旋转风 小于3级
1097,2014/1/14, 星期二 ,10℃,1℃,多云,旋转风 小于3级
1098,2014/1/15, 星期三 ,10℃,3℃,多云转阴,旋转风 小于3级
1099,2014/1/16, 星期四 ,10℃,3℃,多云,旋转风 小于3级
1100,2014/1/17, 星期五 ,11℃,2℃,多云转晴,旋转风 小于3级
1101,2014/1/18, 星期六 ,11℃,2℃,多云,旋转风 小于3级
1102,2014/1/19, 星期日 ,13℃,4℃,阴转多云,旋转风 小于3级
1103,2014/1/20, 星期一 ,15℃,1℃,多云转晴,旋转风 小于3级
1104,2014/1/21, 星期二 ,15℃,2℃,晴,旋转风 小于3级
1105,2014/1/22, 星期三 ,15℃,1℃,晴,旋转风 小于3级
1106,2014/1/23, 星期四 ,15℃,2℃,晴转多云,旋转风 小于3级
1107,2014/1/24, 星期五 ,15℃,4℃,多云,旋转风 小于3级
1108,2014/1/25, 星期六 ,16℃,4℃,多云,旋转风 小于3级
1109,2014/1/26, 星期日 ,16℃,6℃,阴转多云,旋转风 小于3级
1110,2014/1/27, 星期一 ,16℃,8℃,多云,旋转风 小于3级
1111,2014/1/28, 星期二 ,13℃,8℃,阴,旋转风 小于3级
1112,2014/1/29, 星期三 ,16℃,6℃,多云,旋转风 小于3级
1113,2014/1/30, 星期四 ,17℃,6℃,多云,旋转风 小于3级
1114,2014/1/31, 星期五 ,17℃,6℃,多云,旋转风 小于3级
1115,2014/2/1, 星期六 ,16℃,6℃,多云转晴,旋转风 小于3级
1116,2014/2/2, 星期六 ,16℃,6℃,多云,旋转风 小于3级
1117,2014/2/3, 星期一 ,16℃,6℃,多云,旋转风 小于3级
1118,2014/2/4, 星期二 ,16℃,9℃,多云转阴,旋转风 小于3级
1119,2014/2/5, 星期三 ,13℃,8℃,阴转小雨,北风 小于3级
1120,2014/2/6, 星期四 ,10℃,7℃,小雨转阴,旋转风 小于3级
1121,2014/2/7, 星期五 ,10℃,3℃,阴转多云,旋转风 小于3级
1122,2014/2/8, 星期六 ,7℃,2℃,多云转小雨,旋转风 小于3级
1123,2014/2/9, 星期日 ,6℃,2℃,小雨,旋转风 小于3级
1124,2014/2/10, 星期一 ,5℃,1℃,阴转雨夹雪,旋转风 小于3级
1125,2014/2/11, 星期二 ,6℃,2℃,小雨转阴,旋转风 小于3级
1126,2014/2/12, 星期三 ,6℃,2℃,阴转阵雪,旋转风 小于3级
1127,2014/2/13, 星期四 ,7℃,2℃,阴,旋转风 小于3级
1128,2014/2/14, 星期五 ,7℃,2℃,阴,旋转风 小于3级
1129,2014/2/15, 星期六 ,7℃,3℃,阴,北风 小于3级
1130,2014/2/16, 星期日 ,10℃,4℃,阴,旋转风 小于3级
1131,2014/2/17, 星期一 ,9℃,4℃,阴转小雨,旋转风 小于3级
1132,2014/2/18, 星期二 ,6℃,2℃,小雨转阴,旋转风 小于3级
1133,2014/2/19, 星期三 ,13℃,1℃,多云,旋转风 小于3级
1134,2014/2/20, 星期四 ,12℃,3℃,多云,旋转风 小于3级
1135,2014/2/21, 星期五 ,11℃,5℃,多云,旋转风 小于3级
1136,2014/2/22, 星期六 ,12℃,5℃,阴转多云,旋转风 小于3级
1137,2014/2/23, 星期日 ,11℃,6℃,阴,旋转风 小于3级
1138,2014/2/24, 星期一 ,13℃,8℃,阴,旋转风 小于3级
1139,2014/2/25, 星期二 ,13℃,8℃,阴转多云,旋转风 小于3级
1140,2014/2/26, 星期三 ,12℃,7℃,阴,旋转风 小于3级
1141,2014/2/27, 星期四 ,13℃,8℃,小雨转阴,旋转风 小于3级
1142,2014/2/28, 星期五 ,11℃,8℃,阴,旋转风 小于3级
1143,2014/3/1, 星期六 ,11℃,7℃,阵雨转阴,旋转风 小于3级
1144,2014/3/2, 星期日 ,11℃,7℃,小雨转阴,旋转风 小于3级
1145,2014/3/3, 星期一 ,10℃,8℃,阵雨,旋转风 小于3级
1146,2014/3/4, 星期二 ,15℃,7℃,阴转多云,旋转风 小于3级
1147,2014/3/5, 星期四 ,15℃,6℃,多云转阴,旋转风 小于3级
1148,2014/3/6, 星期五 ,11℃,8℃,小雨,旋转风 小于3级
1149,2014/3/7, 星期六 ,12℃,8℃,小雨转阴,旋转风 小于3级
1150,2014/3/8, 星期日 ,17℃,8℃,小雨转多云,旋转风 小于3级
1151,2014/3/9, 星期日 ,15℃,6℃,多云,旋转风 小于3级
1152,2014/3/10, 星期二 ,17℃,8℃,阴转多云,旋转风 小于3级
1153,2014/3/11, 星期三 ,17℃,9℃,多云,旋转风 小于3级
1154,2014/3/12, 星期四 ,19℃,11℃,阴转多云,旋转风 小于3级
1155,2014/3/13, 星期五 ,15℃,9℃,阴转阵雨,旋转风 小于3级
1156,2014/3/14, 星期六 ,18℃,8℃,多云,旋转风 小于3级
1157,2014/3/15, 星期日 ,19℃,10℃,多云,旋转风 小于3级
1158,2014/3/16, 星期一 ,19℃,9℃,多云,旋转风 小于3级
1159,2014/3/17, 星期一 ,19℃,9℃,多云,旋转风 小于3级
1160,2014/3/18, 星期三 ,22℃,15℃,多云,旋转风 小于3级
1161,2014/3/19, 星期四 ,25℃,14℃,多云,旋转风~北风 小于3级~3-4级
1162,2014/3/20, 星期五 ,16℃,8℃,阴,北风 3-4级
1163,2014/3/21, 星期六 ,13℃,8℃,阴转小雨,旋转风 小于3级
1164,2014/3/22, 星期日 ,12℃,8℃,小雨,旋转风 小于3级
1165,2014/3/23, 星期一 ,16℃,9℃,阴,旋转风 小于3级
1166,2014/3/24, 星期二 ,20℃,10℃,多云,旋转风 小于3级
1167,2014/3/25, 星期三 ,19℃,10℃,多云,旋转风 小于3级
1168,2014/3/26, 星期三 ,18℃,11℃,多云,旋转风 小于3级
1169,2014/3/27, 星期四 ,19℃,13℃,多云,旋转风 小于3级
1170,2014/3/28, 星期五 ,23℃,13℃,多云,旋转风 小于3级
1171,2014/3/29, 星期日 ,22℃,17℃,多云转阴,旋转风 小于3级
1172,2014/3/30, 星期一 ,19℃,15℃,小雨,北风 小于3级
1173,2014/3/31, 星期二 ,19℃,14℃,小雨,东北风 小于3级
1174,2014/4/1, 星期三 ,19℃,14℃,阴转阵雨,旋转风 小于3级
1175,2014/4/2, 星期四 ,19℃,13℃,阴,旋转风 小于3级
1176,2014/4/3, 星期五 ,21℃,14℃,多云,旋转风 小于3级
1177,2014/4/4, 星期六 ,20℃,13℃,阴,旋转风 小于3级
1178,2014/4/5, 星期日 ,17℃,14℃,小雨,旋转风 小于3级
1179,2014/4/6, 星期一 ,21℃,13℃,多云转阴,旋转风 小于3级
1180,2014/4/7, 星期二 ,22℃,13℃,阴转多云,旋转风 小于3级
1181,2014/4/8, 星期三 ,24℃,14℃,多云,旋转风 小于3级
1182,2014/4/9, 星期四 ,22℃,15℃,阴,旋转风 小于3级
1183,2014/4/10, 星期五 ,22℃,16℃,阴,旋转风 小于3级
1184,2014/4/11, 星期六 ,23℃,17℃,阴,旋转风 小于3级
1185,2014/4/12, 星期六 ,25℃,16℃,阴转多云,旋转风 小于3级
1186,2014/4/13, 星期日 ,26℃,17℃,多云,旋转风 小于3级
1187,2014/4/14, 星期二 ,24℃,18℃,阵雨转多云,旋转风 小于3级
1188,2014/4/15, 星期二 ,25℃,18℃,多云,旋转风 小于3级
1189,2014/4/16, 星期三 ,26℃,18℃,阴,旋转风 小于3级
1190,2014/4/17, 星期四 ,27℃,18℃,多云,旋转风 小于3级
1191,2014/4/18, 星期五 ,24℃,18℃,小到中雨转小雨,旋转风 小于3级
1192,2014/4/19, 星期六 ,28℃,18℃,多云,旋转风 小于3级
1193,2014/4/20, 星期日 ,23℃,16℃,阴,旋转风 小于3级
1194,2014/4/21, 星期一 ,21℃,15℃,小雨转多云,旋转风 小于3级
1195,2014/4/22, 星期二 ,24℃,16℃,阴转多云,旋转风 小于3级
1196,2014/4/23, 星期三 ,23℃,16℃,多云转阴,旋转风 小于3级
1197,2014/4/24, 星期四 ,23℃,16℃,多云转阴,旋转风 小于3级
1198,2014/4/25, 星期五 ,22℃,16℃,小雨转阴,东北风 小于3级
1199,2014/4/26, 星期日 ,24℃,15℃,阴转多云,旋转风 小于3级
1200,2014/4/27, 星期日 ,24℃,12℃,多云,旋转风 小于3级
1201,2014/4/28, 星期二 ,22℃,14℃,阴,旋转风 小于3级
1202,2014/4/29, 星期三 ,26℃,14℃,多云,旋转风 小于3级
1203,2014/4/30, 星期四 ,28℃,15℃,多云,旋转风 小于3级
1204,2014/5/1, 星期四 ,25℃,16℃,多云,北风 3-4级
1205,2014/5/2, 星期六 ,23℃,14℃,阵雨转多云,北风 小于3级
1206,2014/5/3, 星期日 ,18℃,14℃,小雨转阴,旋转风 小于3级
1207,2014/5/4, 星期一 ,26℃,16℃,多云,旋转风 小于3级
1208,2014/5/5, 星期二 ,24℃,15℃,多云,旋转风 小于3级
1209,2014/5/6, 星期三 ,27℃,15℃,多云,旋转风 小于3级
1210,2014/5/7, 星期四 ,26℃,15℃,多云转晴,旋转风 小于3级
1211,2014/5/8, 星期五 ,24℃,13℃,阵雨转阴,旋转风 小于3级
1212,2014/5/9, 星期六 ,25℃,16℃,阵雨,旋转风 小于3级
1213,2014/5/10, 星期日 ,23℃,16℃,小雨转阵雨,东北风 小于3级~4-5级
1214,2014/5/11, 星期一 ,26℃,15℃,多云,旋转风 小于3级
1215,2014/5/12, 星期二 ,25℃,16℃,阴转多云,旋转风 小于3级
1216,2014/5/13, 星期三 ,24℃,17℃,阴,旋转风 小于3级
1217,2014/5/14, 星期四 ,27℃,17℃,阴转多云,旋转风 小于3级
1218,2014/5/15, 星期四 ,23℃,15℃,多云,东北风 小于3级
1219,2014/5/16, 星期五 ,25℃,16℃,阴转多云,旋转风 小于3级
1220,2014/5/17, 星期日 ,25℃,17℃,阴转多云,旋转风 小于3级
1221,2014/5/18, 星期日 ,27℃,17℃,阴,旋转风 小于3级
1222,2014/5/19, 星期二 ,29℃,18℃,小雨转多云,旋转风 小于3级
1223,2014/5/20, 星期三 ,27℃,19℃,多云,旋转风 小于3级
1224,2014/5/21, 星期四 ,28℃,19℃,小雨转多云,旋转风 小于3级
1225,2014/5/22, 星期五 ,27℃,19℃,阴,旋转风 小于3级
1226,2014/5/23, 星期五 ,26℃,19℃,阵雨,旋转风 小于3级
1227,2014/5/24, 星期日 ,28℃,21℃,小雨转多云,北风 小于3级
1228,2014/5/25, 星期一 ,27℃,19℃,小雨转多云,旋转风~东北风 小于3级
1229,2014/5/26, 星期一 ,29℃,19℃,阴转多云,旋转风~东北风 小于3级
1230,2014/5/27, 星期三 ,29℃,18℃,多云,旋转风 小于3级
1231,2014/5/28, 星期四 ,29℃,19℃,多云,旋转风 小于3级
1232,2014/5/29, 星期五 ,29℃,20℃,多云,旋转风 小于3级
1233,2014/5/30, 星期五 ,28℃,20℃,多云,旋转风 小于3级
1234,2014/5/31, 星期日 ,30℃,20℃,阵雨转多云,旋转风 小于3级
1235,2014/6/1, 星期日 ,31℃,20℃,多云,旋转风 小于3级
1236,2014/6/2, 星期一 ,32℃,23℃,多云,旋转风 小于3级
1237,2014/6/3, 星期三 ,26℃,23℃,阵雨,旋转风 小于3级
1238,2014/6/4, 星期四 ,26℃,23℃,中雨转小雨,旋转风 小于3级
1239,2014/6/5, 星期五 ,26℃,22℃,阵雨转阴,旋转风 小于3级
1240,2014/6/6, 星期五 ,28℃,22℃,阴转多云,旋转风 小于3级
1241,2014/6/7, 星期六 ,30℃,22℃,阴转多云,旋转风 小于3级
1242,2014/6/8, 星期一 ,30℃,22℃,多云转阵雨,旋转风 小于3级
1243,2014/6/9, 星期一 ,29℃,22℃,阵雨转阴,旋转风 小于3级
1244,2014/6/10, 星期三 ,22℃,27℃,阴转阵雨,西北风 旋转风小于3级
1245,2014/6/11, 星期四 ,23℃,19℃,小雨,西北风 旋转风小于3级
1246,2014/6/12, 星期五 ,18℃,23℃,小雨,东风 旋转风小于3级
1247,2014/6/13, 星期六 ,27℃,20℃,阴,东南风 旋转风小于3级
1248,2014/6/14, 星期日 ,21℃,28℃,阴,东南风 旋转风小于3级
